Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-7.28257887112893E-06,0.00313712189482795,-0.510442515287971,0,0,0,25.7309030479168,0.131564424573315,9.22312184388478E-06,-1.92259655939609E-07,0.12863710328844,0.000576826622898757,0.0431477760395514,0,0,0,0,0,0,package://jqr.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/base_link.STL,,leg^jqr-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-3.66716048354199E-07,0.01733512366571,0.204933038476789,0,0,0,18.0550443856409,0.0703445252773168,5.67686395963026E-07,-1.04936822351132E-06,0.126050912527544,4.33234114295336E-05,0.101749713011065,0,0,0,0,0,0,package://jqr.SLDASM/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/link_1.STL,,qugan^jqr-1,坐标系2,基准轴1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link_l_2,0.0192116330700638,0.00210607415629638,1.72593120864595E-07,0,0,0,0.326987226634881,0.000337004873840184,-2.5379498108827E-05,-7.47610000146244E-08,0.000304711615462641,1.92480172582897E-09,0.000391511792737935,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_2.STL,,l_jian_1^jqr-1,坐标系3,基准轴2,joint_l_2,revolute,0.18,0,0.2957,0,0,0,link_1,-1,0,0,0,0,0,0,,,,,,,,
Link_l_3,5.79342129825022E-13,0.0188909489631652,-0.0114828840417226,0,0,0,0.298520124158937,0.000193885158977959,-1.99513392221959E-15,1.16639876114517E-15,0.000128830758080107,3.80320921264696E-05,0.000162377820693639,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_3.STL,,l_jian_2^jqr-1,坐标系4,基准轴3,joint_l_3,revolute,0.053909,-0.028,0,0,0,0,Link_l_2,0,1,0,0,0,0,0,,,,,,,,
Link_l_4,-0.00346032389871015,1.65136695429169E-08,-0.108516866875203,0,0,0,0.671082140232489,0.00084543734485534,3.13098312956249E-10,-1.49774637729417E-05,0.000856715139405768,1.29726209040003E-10,0.000474774451848715,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_4.STL,,l_jian_3^jqr-1,坐标系5,基准轴4,joint_l_4,revolute,0,0.0285,-0.038,0,0,0,Link_l_3,0,0,-1,0,0,0,0,,,,,,,,
Link_l_5,0.0298252395509881,2.69584074619189E-07,-0.0111377145766401,0,0,0,0.326042834726433,0.000196478803920671,3.15590879514583E-09,-1.5664356935537E-05,0.000291950260895777,-9.50914655149448E-08,0.00022447445297539,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_5.STL,,l_zhou_1^jqr-2,坐标系6,基准轴5,joint_l_5,revolute,-0.026,0,-0.217,0,0,0,Link_l_4,-1,0,0,0,0,0,0,,,,,,,,
Link_l_6,1.70324152282131E-08,-2.26173746398217E-09,-0.086106964412177,0,0,0,0.578023782698956,0.000800669559113827,-1.53348176821043E-10,1.22640139468745E-10,0.000800670815790048,-1.74146203074858E-11,0.000441194903910431,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_6.STL,,l_zhou_2^jqr-1,坐标系7,基准轴6,joint_l_6,revolute,0.028,0,-0.051909,0,0,0,Link_l_5,0,0,-1,0,0,0,0,,,,,,,,
Link_l_7,0.0338197212259842,-0.00038985244370715,-0.0594631753688534,0,0,0,0.692165788318104,0.000718868972184597,6.07415436106744E-07,7.05799369015941E-05,0.000980193989059306,-4.30720905831231E-06,0.000451178675645269,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_l_7.STL,,zuoshou-1,坐标系14,基准轴13,joint_l_7,revolute,-0.031909,0,-0.2123,0,0,0,Link_l_6,-1,0,0,0,0,0,0,,,,,,,,
Link_r_2,-0.0192116330699349,0.00210607415747477,-1.7259312089235E-07,0,0,0,0.326987226634883,0.000337004873843299,2.53794981068483E-05,-7.47610000147311E-08,0.00030471161545953,-1.92480172115904E-09,0.000391511792737939,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_r_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_r_2.STL,,r_jian_1^jqr-1,坐标系8,基准轴7,joint_r_2,revolute,-0.18,0,0.2957,0,0,0,link_1,-1,0,0,0,0,0,0,,,,,,,,
Link_r_3,5.79369885400638E-13,0.0188909489631648,-0.0114828840417226,0,0,0,0.298520124158937,0.000193885158977959,-1.99514681727917E-15,1.16642669819463E-15,0.000128830758080107,3.80320921264696E-05,0.000162377820693639,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_r_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://jqr.SLDASM/meshes/Link_r_3.STL,,r_jian_2^jqr-1,坐标系9,基准轴8,joint_r_3,revolute,-0.053909,-0.028,0,0,0,0,Link_r_2,0,1,0,0,0,0,0,,,,,,,,
